n_true,k_true,n_ML,k_ML,n_classic,k_classic,error_n_ML,error_k_ML,error_n_classic,error_k_classic,time_ML,time_classic
1.62158,8e-05,4.299644,5.336649,0.8331253063782006,0.12653664848155471,2.6780639933776857,5.336568941040039,0.7884546936217994,0.12645664848155472,0.0,0.913754940032959
1.28,1.188,2.6494682,1.5779573,1.3451278974854504,0.3104341986782542,1.369468183517456,0.3899572725296021,0.06512789748545034,0.8775658013217458,0.0010018348693847656,0.6598422527313232
1.28,1.188,2.139761,0.38516086,1.3451278974854504,0.3104341986782542,0.8597609710693359,0.8028391366004943,0.06512789748545034,0.8775658013217458,0.0009522438049316406,0.6689286231994629
1.28,1.188,1.7008595,-0.0003440529,1.3451278974854504,0.3104341986782542,0.4208595466613769,1.1883440529108047,0.06512789748545034,0.8775658013217458,0.0010204315185546875,0.6256105899810791
1.28,1.188,1.5656095,-0.014289454,1.3451278974854504,0.3104341986782542,0.28560945510864255,1.202289453625679,0.06512789748545034,0.8775658013217458,0.0010640621185302734,0.587623119354248
1.28,1.188,1.5650172,-0.023170471,1.3451278974854504,0.3104341986782542,0.28501722335815427,1.2111704711914062,0.06512789748545034,0.8775658013217458,0.0009958744049072266,0.6271052360534668
1.28,1.188,1.5914967,-0.023142561,1.3451278974854504,0.3104341986782542,0.3114967060089111,1.2111425613164901,0.06512789748545034,0.8775658013217458,0.0,0.6191291809082031
1.28,1.188,1.6087112,-0.020243585,1.3451278974854504,0.3104341986782542,0.3287112426757812,1.2082435851097106,0.06512789748545034,0.8775658013217458,0.0010006427764892578,0.6294186115264893
1.28,1.188,1.6143965,-0.019077599,1.3451278974854504,0.3104341986782542,0.33439645290374753,1.2070775990486144,0.06512789748545034,0.8775658013217458,0.0009832382202148438,0.5745010375976562
1.28,1.64,1.4796991,1.3204623,1.3643974528182872,0.3618661628860639,0.19969913482666013,0.31953765392303457,0.08439745281828714,1.278133837113936,0.0,0.6226599216461182
1.28,1.64,1.5327532,1.9336166,1.3643974528182872,0.3618661628860639,0.2527532291412353,0.29361663818359385,0.08439745281828714,1.278133837113936,0.00099945068359375,0.5999913215637207
1.28,1.64,1.4573219,1.1062154,1.3643974528182872,0.3618661628860639,0.17732188224792478,0.5337846422195434,0.08439745281828714,1.278133837113936,0.0009772777557373047,0.6256794929504395
1.28,1.64,1.4338934,0.7646269,1.3643974528182872,0.3618661628860639,0.15389344215393064,0.8753730797767638,0.08439745281828714,1.278133837113936,0.0,0.6756958961486816
1.28,1.64,1.4296973,0.6889566,1.3643974528182872,0.3618661628860639,0.14969727516174314,0.9510433816909789,0.08439745281828714,1.278133837113936,0.0010180473327636719,0.6872396469116211
1.28,1.64,1.4290478,0.68421775,1.3643974528182872,0.3618661628860639,0.14904782295227048,0.9557822489738463,0.08439745281828714,1.278133837113936,0.00101470947265625,0.6615426540374756
1.28,1.64,1.4291296,0.68932205,1.3643974528182872,0.3618661628860639,0.14912960052490232,0.950677945613861,0.08439745281828714,1.278133837113936,0.0009894371032714844,0.628838300704956
1.28,1.64,1.4292529,0.69204056,1.3643974528182872,0.3618661628860639,0.14925286293029782,0.9479594373703002,0.08439745281828714,1.278133837113936,0.0009818077087402344,0.6313016414642334
1.264,2.472,3.8060136,13.249955,1.4465217009762075,0.44489795210923744,2.5420135841369627,10.77795517730713,0.18252170097620746,2.0271020478907626,0.0010218620300292969,0.6693530082702637
1.264,2.472,3.689527,12.760761,1.4465217009762075,0.44489795210923744,2.4255270347595212,10.288761260986329,0.18252170097620746,2.0271020478907626,0.0008697509765625,0.6846332550048828
1.264,2.472,3.6900358,12.762625,1.4465217009762075,0.44489795210923744,2.426035820007324,10.290624740600586,0.18252170097620746,2.0271020478907626,0.0010030269622802734,0.6747159957885742
1.264,2.472,3.6900382,12.76264,1.4465217009762075,0.44489795210923744,2.426038204193115,10.290639999389649,0.18252170097620746,2.0271020478907626,0.0010192394256591797,0.6723337173461914
1.264,2.472,3.6900382,12.76264,1.4465217009762075,0.44489795210923744,2.426038204193115,10.290639999389649,0.18252170097620746,2.0271020478907626,0.0,0.6322941780090332
1.264,2.472,3.6900382,12.76264,1.4465217009762075,0.44489795210923744,2.426038204193115,10.290639999389649,0.18252170097620746,2.0271020478907626,0.0,0.6626467704772949
1.264,2.472,3.6900382,12.76264,1.4465217009762075,0.44489795210923744,2.426038204193115,10.290639999389649,0.18252170097620746,2.0271020478907626,0.0010023117065429688,0.7556431293487549
1.264,2.472,3.6900382,12.76264,1.4465217009762075,0.44489795210923744,2.426038204193115,10.290639999389649,0.18252170097620746,2.0271020478907626,0.0,0.733224630355835
1.023,2.774,4.6992188,18.025408,1.447540847490418,0.4683189908803615,3.6762187500000003,15.251407791137694,0.424540847490418,2.3056810091196387,0.0010001659393310547,0.6810708045959473
1.023,2.774,4.5913153,17.699835,1.447540847490418,0.4683189908803615,3.568315269470215,14.925834823608398,0.424540847490418,2.3056810091196387,0.0010035037994384766,0.7134816646575928
1.023,2.774,4.5913806,17.699587,1.447540847490418,0.4683189908803615,3.568380596160889,14.925586868286132,0.424540847490418,2.3056810091196387,0.0010237693786621094,0.7478430271148682
1.023,2.774,4.591385,17.699598,1.447540847490418,0.4683189908803615,3.568384887695313,14.925598312377929,0.424540847490418,2.3056810091196387,0.0010221004486083984,0.7248284816741943
1.023,2.774,4.591385,17.699598,1.447540847490418,0.4683189908803615,3.568384887695313,14.925598312377929,0.424540847490418,2.3056810091196387,0.0010042190551757812,0.7379858493804932
1.023,2.774,4.591385,17.699598,1.447540847490418,0.4683189908803615,3.568384887695313,14.925598312377929,0.424540847490418,2.3056810091196387,0.0009763240814208984,0.7163982391357422
1.023,2.774,4.591385,17.699598,1.447540847490418,0.4683189908803615,3.568384887695313,14.925598312377929,0.424540847490418,2.3056810091196387,0.0010235309600830078,0.6308059692382812
1.023,2.774,4.591385,17.699598,1.447540847490418,0.4683189908803615,3.568384887695313,14.925598312377929,0.424540847490418,2.3056810091196387,0.0009069442749023438,0.7181529998779297
2.04232,0.59569,2.0453904,0.35639882,1.4874628166500963,0.2465553509069403,0.003070367507934435,0.23929117912292486,0.5548571833499039,0.34913464909305975,0.001004934310913086,0.6643970012664795
2.04232,0.59569,1.9905186,0.26877812,1.4874628166500963,0.2465553509069403,0.05180143005371107,0.3269118844890595,0.5548571833499039,0.34913464909305975,0.0009849071502685547,0.6400527954101562
