lambda|psi_deg|delta_deg|n|k|thickness|material
615.0|2.5842424025537283|356.42456211590394|1.47257|0.0|50|SiO2
620.0|2.581316366050446|356.46581210505974|1.472437|0.0|50|SiO2
625.0|2.5784828257289254|356.50649093602584|1.472307|0.0|50|SiO2
630.0|2.5757481097560677|356.546333247001|1.472181|0.0|50|SiO2
635.0|2.5730913504648787|356.5858041368515|1.472057|0.0|50|SiO2
640.0|2.5705191600891406|356.6246416299188|1.471936|0.0|50|SiO2
645.0|2.568029047191235|356.6628284553126|1.471818|0.0|50|SiO2
650.0|2.565618593358546|356.70034891941987|1.471703|0.0|50|SiO2
655.0|2.5632854514494565|356.73718881403596|1.471591|0.0|50|SiO2
660.0|2.561019020794069|356.7735758460663|1.471481|0.0|50|SiO2
665.0|2.5588174307818075|356.80949714146914|1.471373|0.0|50|SiO2
670.0|2.5566869628585827|356.8447013579095|1.471268|0.0|50|SiO2
675.0|2.554625524759985|356.87917927965293|1.471166|0.0|50|SiO2
680.0|2.5526153208347178|356.9133999057556|1.471065|0.0|50|SiO2
685.0|2.5506705684485746|356.9468768908444|1.470967|0.0|50|SiO2
690.0|2.5487816716629728|356.9798414881377|1.470871|0.0|50|SiO2
695.0|2.546954645203231|357.01204979841907|1.470778|0.0|50|SiO2
700.0|2.5451727270669715|357.0439699623039|1.470686|0.0|50|SiO2
705.0|2.543442122176424|357.07535900666824|1.470596|0.0|50|SiO2
710.0|2.5417614029355104|357.10621210612265|1.470508|0.0|50|SiO2
715.0|2.540129183340127|357.1365250777293|1.470422|0.0|50|SiO2
720.0|2.5385441178163837|357.166294342565|1.470338|0.0|50|SiO2
725.0|2.5369978943239224|357.19575007746846|1.470255|0.0|50|SiO2
730.0|2.5354964281456533|357.2246553004383|1.470174|0.0|50|SiO2
735.0|2.5340384834169845|357.2530080045229|1.470095|0.0|50|SiO2
740.0|2.5326228604235714|357.2808066549806|1.470018|0.0|50|SiO2
745.0|2.531241734692039|357.3082806628159|1.469942|0.0|50|SiO2
750.0|2.529894223624594|357.3354272745403|1.469867|0.0|50|SiO2
755.0|2.528585964843423|357.36201496958773|1.469794|0.0|50|SiO2
760.0|2.527315884306112|357.3880437827302|1.469723|0.0|50|SiO2
765.0|2.526076601571886|357.41374178805233|1.469653|0.0|50|SiO2
770.0|2.5248673354294517|357.4391075336169|1.469584|0.0|50|SiO2
775.0|2.523693511225479|357.4639135812906|1.469517|0.0|50|SiO2
780.0|2.522548056307167|357.48838671175577|1.469451|0.0|50|SiO2
785.0|2.521430255975985|357.5125262473479|1.469386|0.0|50|SiO2
790.0|2.5203453809173624|357.53610767171966|1.469323|0.0|50|SiO2
795.0|2.5192807529710297|357.55957960158304|1.46926|0.0|50|SiO2
800.0|2.518247577952338|357.5824946104554|1.469199|0.0|50|SiO2
805.0|2.5172392541317574|357.60507690494245|1.469139|0.0|50|SiO2
810.0|2.5162551629207157|357.6273268022037|1.46908|0.0|50|SiO2
815.0|2.51530032703025|357.64902444098715|1.469023|0.0|50|SiO2
820.0|2.5143628474571686|357.67061188213705|1.468966|0.0|50|SiO2
825.0|2.5134478452104636|357.6918688080901|1.46891|0.0|50|SiO2
830.0|2.5125547663785524|357.7127961229433|1.468855|0.0|50|SiO2
835.0|2.5116884433718534|357.73317752726206|1.468802|0.0|50|SiO2
840.0|2.5108375486079013|357.75344957540244|1.468749|0.0|50|SiO2
845.0|2.510007004969708|357.7733954367259|1.468697|0.0|50|SiO2
850.0|2.5091963160923862|357.79301646351786|1.468646|0.0|50|SiO2
855.0|2.5084101333895|357.81209979966195|1.468597|0.0|50|SiO2
