wl,n
1.91571,1.61650
1.91718,1.61648
1.91865,1.61646
1.92012,1.61643
1.92160,1.61641
1.92308,1.61639
1.92456,1.61637
1.92604,1.61635
1.92753,1.61632
1.92901,1.61630
1.93050,1.61628
1.93199,1.61625
1.93349,1.61623
1.93498,1.61621
1.93648,1.61619
1.93798,1.61616
1.93949,1.61614
1.94099,1.61612
1.94250,1.61609
1.94401,1.61607
1.94553,1.61605
1.94704,1.61603
1.94856,1.61600
1.95008,1.61598
1.95160,1.61596
1.95313,1.61593
1.95465,1.61591
1.95618,1.61589
1.95771,1.61586
1.95925,1.61584
1.96078,1.61581
1.96232,1.61579
1.96386,1.61577
1.96541,1.61574
1.96696,1.61572
1.96850,1.61570
1.97006,1.61567
1.97161,1.61565
1.97316,1.61562
1.97472,1.61560
1.97628,1.61557
1.97785,1.61555
1.97941,1.61553
1.98098,1.61550
1.98255,1.61548
1.98413,1.61545
1.98570,1.61543
1.98728,1.61540
1.98886,1.61538
1.99045,1.61535
1.99203,1.61533
1.99362,1.61530
1.99521,1.61528
1.99681,1.61525
1.99840,1.61523
2.00000,1.61520
2.00160,1.61518
2.00321,1.61515
2.00481,1.61513
2.00642,1.61510
2.00803,1.61508
2.00965,1.61505
2.01126,1.61503
2.01288,1.61500
2.01450,1.61497
2.01613,1.61495
2.01776,1.61492
2.01939,1.61490
2.02102,1.61487
2.02265,1.61484
2.02429,1.61482
2.02593,1.61479
2.02758,1.61477
2.02922,1.61474
2.03087,1.61471
2.03252,1.61469
2.03417,1.61466
2.03583,1.61463
2.03749,1.61461
2.03915,1.61458
2.04082,1.61455
2.04248,1.61453
2.04415,1.61450
2.04583,1.61447
2.04750,1.61445
2.04918,1.61442
2.05086,1.61439
2.05255,1.61436
2.05423,1.61434
2.05592,1.61431
2.05761,1.61428
2.05931,1.61425
2.06101,1.61423
2.06271,1.61420
2.06441,1.61417
2.06612,1.61414
2.06782,1.61412
2.06954,1.61409
2.07125,1.61406
2.07297,1.61403
2.07469,1.61400
2.07641,1.61397
2.07814,1.61395
2.07987,1.61392
2.08160,1.61389
2.08333,1.61386
2.08507,1.61383
2.08681,1.61380
2.08855,1.61377
2.09030,1.61375
2.09205,1.61372
2.09380,1.61369
2.09556,1.61366
2.09732,1.61363
2.09908,1.61360
2.10084,1.61357
2.10261,1.61354
2.10438,1.61351
2.10615,1.61348
2.10793,1.61345
2.10970,1.61342
2.11149,1.61339
2.11327,1.61336
2.11506,1.61333
2.11685,1.61330
2.11864,1.61327
2.12044,1.61324
2.12224,1.61321
2.12404,1.61318
2.12585,1.61315
2.12766,1.61312
2.12947,1.61309
2.13129,1.61306
2.13311,1.61303
2.13493,1.61300
2.13675,1.61297
2.13858,1.61294
2.14041,1.61291
2.14225,1.61288
2.14408,1.61285
2.14592,1.61281
2.14777,1.61278
2.14961,1.61275
2.15146,1.61272
2.15332,1.61269
2.15517,1.61266
2.15703,1.61263
2.15889,1.61259
2.16076,1.61256
2.16263,1.61253
2.16450,1.61250
2.16638,1.61247
2.16826,1.61243
2.17014,1.61240
2.17202,1.61237
2.17391,1.61234
2.17581,1.61230
2.17770,1.61227
2.17960,1.61224
2.18150,1.61220
2.18341,1.61217
2.18531,1.61214
2.18723,1.61211
2.18914,1.61207
2.19106,1.61204
2.19298,1.61201
2.19491,1.61197
2.19684,1.61194
2.19877,1.61190
2.20070,1.61187
2.20264,1.61184
